Player = 2
x = 0, y = 0, symbol = .
x = 1, y = 0, symbol = O
x = 2, y = 0, symbol = O
x = 3, y = 0, symbol = .
x = 4, y = 0, symbol = .
x = 5, y = 0, symbol = .
x = 6, y = 0, symbol = .
x = 7, y = 0, symbol = .
x = 8, y = 0, symbol = .
x = 9, y = 0, symbol = .
x = 10, y = 0, symbol = .
x = 11, y = 0, symbol = .
x = 12, y = 0, symbol = .
x = 13, y = 0, symbol = .
x = 14, y = 0, symbol = .
x = 15, y = 0, symbol = .
x = 16, y = 0, symbol = .
GNL = 006 .OO..............
x = 0, y = 0, symbol = .
x = 1, y = 0, symbol = O
x = 2, y = 0, symbol = O
x = 3, y = 0, symbol = .
x = 4, y = 0, symbol = .
x = 5, y = 0, symbol = .
x = 6, y = 0, symbol = .
x = 7, y = 0, symbol = .
x = 8, y = 0, symbol = .
x = 9, y = 0, symbol = .
x = 10, y = 0, symbol = .
x = 11, y = 0, symbol = .
x = 12, y = 0, symbol = .
x = 13, y = 0, symbol = .
x = 14, y = 0, symbol = .
x = 15, y = 0, symbol = .
x = 16, y = 0, symbol = .
x = 0, y = 1, symbol = .
x = 1, y = 1, symbol = X
x = 2, y = 1, symbol = X
x = 3, y = 1, symbol = .
x = 4, y = 1, symbol = .
x = 5, y = 1, symbol = .
x = 6, y = 1, symbol = .
x = 7, y = 1, symbol = .
x = 8, y = 1, symbol = .
x = 9, y = 1, symbol = .
x = 10, y = 1, symbol = .
x = 11, y = 1, symbol = .
x = 12, y = 1, symbol = .
x = 13, y = 1, symbol = .
x = 14, y = 1, symbol = .
x = 15, y = 1, symbol = .
x = 16, y = 1, symbol = .
GNL = 006 .XX..............
